"","cidade","latitude","longitude"
"1","Brisbane",-27.365991,152.948963
"2","Sydney",-33.8698439,151.2082848
"3","Melbourne",-37.8142454,144.9631732
"4","Innsbruck",47.2654296,11.3927685
"5","Antwerpen",51.2211097,4.3997081
"6","Rio de Janeiro",-22.9110137,-43.2093727
"7","Montréal",45.5031824,-73.5698065
"8","Vancouver",49.2608724,-123.113952
"9","Calgary",51.0456064,-114.057541
"10","Beijing",39.9057136,116.3912972
"11","Barcelona",41.3825802,2.177073
"12","Helsinki",60.1666204,24.9435408
"13","Albertville",45.6754622,6.3925417
"14","Paris",48.8534951,2.3483915
"15","Grenoble",45.1875602,5.7357819
"16","Chamonix",45.9246705,6.8727506
"17","München",48.1371079,11.5753822
"18","London",51.5074456,-0.1277653
"19","Berlin",52.5173885,13.3951309
"20","Garmisch-Partenkirchen",47.4923741,11.0962815
"21","Athina",37.9755648,23.7348324
"22","Cortina d'Ampezzo",46.5383332,12.1373506
"23","Roma",41.8933203,12.4829321
"24","Torino",45.0677551,7.6824892
"25","Nagano",36.6485851,138.1947664
"26","Tokyo",35.6768601,139.7638947
"27","Sapporo",43.061936,141.3542924
"28","Seoul",37.5666791,126.9782914
"29","PyeongChang",37.6159731,126.9676478
"30","Ciudad de México",19.4326296,-99.1331785
"31","Amsterdam",52.3730796,4.8924534
"32","Lillehammer",61.1333408,10.4265855
"33","Oslo",59.9133301,10.7389701
"34","Sochi",43.5854823,39.723109
"35","Sankt Moritz",46.4978958,9.8392428
"36","Stockholm",59.3251172,18.0710935
"37","Moskva",55.7505412,37.6174782
"38","Atlanta",33.7544657,-84.3898151
"39","Salt Lake City",40.7596198,-111.886797
"40","Los Angeles",34.0536909,-118.242766
"41","Lake Placid",44.2831194,-73.9828318
"42","St. Louis",38.6254063,-90.190009
"43","Squaw Valley",36.7404998,-119.2470127
"44","Sarajevo",43.8570713,18.4126147
